player_name,mfl_player_id,year,position,positional_rank
JJ Arcega-Whiteside,14107,2023,WR,999
Andy Isabella,14121,2023,WR,999
Irv Smith Jr.,14141,2023,TE,22
Drew Lock,14057,2023,QB,57
Andrew Beck,14319,2023,TE,98
Benny Snell,14072,2023,RB,999
Ryquell Armstead,14093,2023,RB,999
Miles Boykin,14125,2023,WR,197
Daniel Jones,14059,2023,QB,12
Terry McLaurin,14109,2023,WR,21
Diontae Johnson,14208,2023,WR,34
Jalen Hurd,14116,2023,WR,999
Will Grier,14062,2023,QB,999
Kelvin Harmon,14114,2023,WR,999
Josh Jacobs,14073,2022,RB,21
Kyler Murray,14056,2022,QB,5
David Montgomery,14071,2022,RB,17
N'Keal Harry,14101,2022,WR,144
Miles Sanders,14079,2022,RB,27
DK Metcalf,14102,2022,WR,17
T.J. Hockenson,14138,2022,TE,6
Dwayne Haskins,14058,2022,QB,999
Deebo Samuel,14136,2022,WR,6
Noah Fant,14137,2022,TE,16
A.J. Brown,14104,2022,WR,10
Marquise Brown,14105,2022,WR,28
Parris Campbell,14112,2022,WR,90
Mecole Hardman,14113,2022,WR,67
Darrell Henderson,14087,2022,RB,44
Devin Singletary,14080,2022,RB,31
Hakeem Butler,14106,2022,WR,999
Alexander Mattison,14223,2022,RB,41
Damien Harris,14075,2022,RB,26
Darwin Thompson,14284,2022,RB,999
Justice Hill,14086,2022,RB,999
Jace Sternberger,14140,2022,TE,999
JJ Arcega-Whiteside,14107,2022,WR,999
Andy Isabella,14121,2022,WR,999
Irv Smith Jr.,14141,2022,TE,22
Drew Lock,14057,2022,QB,34
Andrew Beck,14319,2022,TE,999
Benny Snell,14072,2022,RB,999
Ryquell Armstead,14093,2022,RB,999
Miles Boykin,14125,2022,WR,155
Daniel Jones,14059,2022,QB,25
Terry McLaurin,14109,2022,WR,19
Diontae Johnson,14208,2022,WR,13
Jalen Hurd,14116,2022,WR,999
Will Grier,14062,2022,QB,999
Kelvin Harmon,14114,2022,WR,999
Josh Jacobs,14073,2019,RB,19
Kyler Murray,14056,2019,QB,14
David Montgomery,14071,2019,RB,30
N'Keal Harry,14101,2019,WR,26
Miles Sanders,14079,2019,RB,27
DK Metcalf,14102,2019,WR,38
T.J. Hockenson,14138,2019,TE,9
Dwayne Haskins,14058,2019,QB,28
Deebo Samuel,14136,2019,WR,59
Noah Fant,14137,2019,TE,10
A.J. Brown,14104,2019,WR,37
Marquise Brown,14105,2019,WR,51
Parris Campbell,14112,2019,WR,49
Mecole Hardman,14113,2019,WR,59
Darrell Henderson,14087,2019,RB,45
Devin Singletary,14080,2019,RB,56
Hakeem Butler,14106,2019,WR,60
Alexander Mattison,14223,2019,RB,71
Damien Harris,14075,2019,RB,42
Darwin Thompson,14284,2019,RB,85
Justice Hill,14086,2019,RB,61
Jace Sternberger,14140,2019,TE,29
JJ Arcega-Whiteside,14107,2019,WR,52
Andy Isabella,14121,2019,WR,70
Irv Smith Jr.,14141,2019,TE,21
Drew Lock,14057,2019,QB,34
Andrew Beck,14319,2019,TE,50
Benny Snell,14072,2019,RB,81
Ryquell Armstead,14093,2019,RB,100
Miles Boykin,14125,2019,WR,88
Daniel Jones,14059,2019,QB,33
