player_name,mfl_player_id,year,position,positional_rank
Bijan Robinson,16161,2023,RB,3
Anthony Richardson,16152,2023,QB,18
Jaxon Smith-Njigba,16185,2023,WR,41
Jahmyr Gibbs,16162,2023,RB,17
Bryce Young,16148,2023,QB,24
C.J. Stroud,16150,2023,QB,26
Jordan Addison,16186,2023,WR,39
Quentin Johnston,16188,2023,WR,47
Dalton Kincaid,16213,2023,TE,27
Zay Flowers,16190,2023,WR,53
Zach Charbonnet,16169,2023,RB,42
Devon Achane,16167,2023,RB,48
Roschon Johnson,16175,2023,RB,62
Kendre Miller,16171,2023,RB,54
Sam LaPorta,16214,2023,TE,29
Will Levis,16149,2023,QB,34
Jayden Reed,16184,2023,WR,97
Jonathan Mingo,16197,2023,WR,87
Michael Mayer,16212,2023,TE,32
Tyjae Spears,16165,2023,RB,77
Tank Bigsby,16164,2023,RB,64
Jalin Hyatt,16183,2023,WR,79
Luke Musgrave,16215,2023,TE,36
Luke Schoonmaker,16221,2023,TE,41
Josh Downs,16187,2023,WR,85
Marvin Mims,16189,2023,WR,101
Chase Brown,16181,2023,RB,80
Rashee Rice,16194,2023,WR,93
Hendon Hooker,16151,2023,QB,51
Cedric Tillman,16191,2023,WR,111
Jake Haener,16156,2023,QB,999
DeWayne McBride,16179,2023,RB,90
Michael Wilson,16206,2023,WR,126
Israel Abanikanda,16168,2023,RB,72
Nathaniel Dell,16204,2023,WR,113
Sean Clifford,16313,2023,QB,999
Zach Evans,16163,2023,RB,69
Kayshon Boutte,16193,2023,WR,104
Puka Nacua,16211,2023,WR,112
Sean Tucker,16166,2023,RB,86
Darnell Washington,16216,2023,TE,43
Eric Gray,16173,2023,RB,100
Tucker Kraft,16222,2023,TE,47
Stetson Bennett,16153,2023,QB,58
Tyler Scott,16205,2023,WR,127
Deuce Vaughn,16176,2023,RB,93
Charlie Jones,16203,2023,WR,141
Brenton Strange,16269,2023,TE,65
